Province,District,Date,Time,TemperatureMin,TemperatureMax,Description,Humidity,WindSpeed,UVIndex,Visibility,Pressure,StopPoint,AirQuality,URL,IP
Hà Giang,,2023-11-28,19:00,17.2,17.4,Mây rải rác,78,0.89,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-28,20:00,17.3,17.7,Mây rải rác,79,0.79,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-28,21:00,17.1,17.4,Mây rải rác,80,0.68,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-28,22:00,17.1,17.9,Mây rải rác,81,0.51,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-28,23:00,16,16.9,Mây thưa,82,0.57,0,10,1018,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,00:00,16.3,15.6,Mây thưa,84,0.64,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,01:00,15.6,15.7,Mây thưa,86,0.71,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,02:00,16,14.6,Mây cụm,87,0.72,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,03:00,14.1,14.1,Mây rải rác,88,0.86,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,04:00,14.8,14.8,Mây rải rác,88,0.84,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,05:00,14.6,14.6,Mây thưa,89,0.7,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,06:00,15,13.6,Mây thưa,90,0.72,0,10,1018,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,07:00,16,14,Mây thưa,86,0.64,0,10,1018,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,08:00,19,17.6,Bầu trời quang đãng,72,0.44,0.7,10,1019,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,09:00,21.3,20.4,Bầu trời quang đãng,62,0.34,1.99,10,1019,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,10:00,24,23.1,Bầu trời quang đãng,56,0.93,3.76,10,1019,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,11:00,24.8,24.1,Bầu trời quang đãng,53,1.29,5.29,10,1018,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,12:00,25.5,25.7,Bầu trời quang đãng,50,1.4,5.88,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,13:00,26.7,26.2,Bầu trời quang đãng,48,1.43,5.36,10,1015,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,14:00,26.7,26.6,Mây thưa,48,1.46,3.88,10,1014,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,15:00,26.7,26.3,Mây thưa,49,1.4,2.06,10,1014,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,16:00,25.2,25.6,Mây thưa,55,1.11,0.71,10,1015,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,17:00,21.3,21,Mây thưa,70,0.98,0,10,1016,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,18:00,19.1,19.6,Mây thưa,76,1.03,0,10,1017,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,19:00,18.8,18.1,Mây thưa,80,1.02,0,10,1018,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,20:00,18.8,18.4,Bầu trời quang đãng,83,0.96,0,10,1019,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,21:00,17.3,17.9,Bầu trời quang đãng,84,1.06,0,10,1020,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,22:00,18,17.2,Bầu trời quang đãng,86,1.08,0,10,1020,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-29,23:00,17.9,17.6,Bầu trời quang đãng,87,1.14,0,10,1020,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-30,00:00,17.9,17.4,Bầu trời quang đãng,88,1.31,0,10,1020,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
Hà Giang,,2023-11-30,01:00,18,17.5,Mây thưa,87,1.24,0,10,1020,14.1,Kém,https://thoitiet.vn/ha-giang/theo-gio,42.119.81.3
