Province,District,Date,Time,TemperatureMin,TemperatureMax,Description,Humidity,WindSpeed,UVIndex,Visibility,Pressure,StopPoint,AirQuality,URL,IP
Bình Phước,Huyện Bù Đăng,2023-12-13,07:00,24.5,24.5,Mây rải rác,79,1.68,0.36,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,08:00,24.2,24.1,Mây thưa,76,2.07,1.66,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,09:00,25.8,26.9,Mây rải rác,69,1.72,4.03,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,10:00,28.8,29.8,Mây rải rác,59,1.4,6.84,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,11:00,31.4,32.4,Mây thưa,47,1.18,9.01,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,12:00,34.8,34.4,Mây thưa,37,0.9,9.76,10,1011,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,13:00,34.5,35.3,Mây rải rác,35,0.17,8.7,10,1009,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,14:00,34.2,34.7,Mây cụm,38,0.64,3.97,10,1008,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,15:00,30,33,Mây cụm,51,1.28,1.1,10,1008,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,16:00,30,31.7,Nhiều mây,62,0.99,0.23,10,1009,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,17:00,26.9,26.4,Mưa nhẹ,76,0.68,0.03,10,1010,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,18:00,24.3,25,Mưa nhẹ,85,0.61,0,10,1011,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,19:00,24.4,24.1,Mưa nhẹ,88,1.26,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,20:00,23.6,24.5,Mưa nhẹ,89,1.59,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,21:00,22.3,23.1,Nhiều mây,91,1.65,0,10,1014,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,22:00,21.9,22.7,Nhiều mây,92,1.69,0,10,1014,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-13,23:00,21.6,21.4,Nhiều mây,92,1.5,0,10,1014,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,00:00,21.4,21.3,Nhiều mây,93,1.57,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,01:00,20.6,21.3,Nhiều mây,93,1.66,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,02:00,20.7,21.3,Nhiều mây,93,1.64,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,03:00,20.3,21.6,Nhiều mây,93,1.62,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,04:00,20.5,20.2,Nhiều mây,92,1.66,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,05:00,20.4,20.7,Nhiều mây,91,1.61,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,06:00,20.8,20.1,Nhiều mây,89,1.58,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,07:00,21.9,21.4,Nhiều mây,81,1.62,0.36,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,08:00,24.3,25.6,Nhiều mây,65,1.76,1.69,10,1014,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,09:00,28.2,29.6,Nhiều mây,49,1.53,4.11,10,1014,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,10:00,31.7,31.1,Nhiều mây,40,1.2,6.95,10,1014,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,11:00,33.2,33.2,Nhiều mây,34,1.12,8.92,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,12:00,35,34.1,Nhiều mây,33,1.26,9.69,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,13:00,35.5,35.5,Nhiều mây,32,0.99,8.57,10,1010,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,14:00,35.8,35.6,Nhiều mây,32,0.77,5.87,10,1008,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,15:00,34.4,34.1,Nhiều mây,34,1.84,2.97,10,1008,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,16:00,32.9,33.5,Nhiều mây,45,2.14,0.97,10,1008,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,17:00,28.3,30.7,Nhiều mây,63,1.48,0.17,10,1009,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,18:00,25.4,26.9,Nhiều mây,74,0.61,0,10,1010,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,19:00,25.9,25.6,Nhiều mây,77,0.48,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,20:00,24.5,24.6,Mây thưa,81,0.79,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,21:00,23.1,24.4,Mây thưa,82,1.08,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,22:00,24,23.6,Mây thưa,84,1.16,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-14,23:00,22.1,23.5,Mây thưa,85,1.24,0,10,1013,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-15,00:00,22.4,22.2,Mây thưa,86,1.19,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
Bình Phước,Huyện Bù Đăng,2023-12-15,01:00,22.4,22.6,Mây thưa,87,1.26,0,10,1012,20.3,Tốt,https://thoitiet.vn/binh-phuoc/bu-dang/theo-gio,1.53.235.227
